EventID,ParticleType,MomentumMag,Theta,Phi,Beta,Gamma,TotalEnergy,PositionX,PositionY,PositionZ,EnergyDeposited,dEdx,TrackLength,TOF
0,e-,0,0,0,0,1,0.510999,96.2769,-16.6753,481.939,0,0,0,5.35708
0,e-,0,0,0,0,1,0.510999,46.05,-22.815,484.751,0.00295128,14.4217,0.000204641,5.18803
0,e-,0,0,0,0,1,0.510999,46.05,-22.815,484.751,0,0,0,5.18803
0,e-,1.50338,0.352783,-2.36147,0.946802,3.10736,1.58786,1.57002,0.618752,497.77,1.19515,0.446866,2.67453,4.9987
0,e-,0.538968,2.0793,-0.00105585,0.725685,1.45343,0.742702,1.33726,0.38844,498.659,0.845154,0.4707,1.79552,5.00204
0,e-,0,0,0,0,1,0.510999,1.42663,0.388346,498.609,0.231703,0.75707,0.306053,5.00251
0,e-,0,0,0,0,1,0.510999,1.42663,0.388346,498.609,0,0,0,5.00251
0,e+,1.09997,0.239335,-2.73997,0.906915,2.37352,1.21287,0.0141592,0.00181059,475.624,0.413647,0.42895,0.964325,4.92246
0,e+,0.449767,2.73872,-0.350043,0.6607,1.33218,0.680742,-0.110263,-0.0510321,476.178,0.532126,0.39052,1.36261,4.92456
0,e+,0,0,0,0,1,0.510999,-0.0869245,-0.0595525,476.119,0.169743,0.94808,0.179039,4.92488
0,e+,0,0,0,0,1,0.510999,-0.0869245,-0.0595525,476.119,0,0,0,4.92488
0,gamma,0.272578,0.198325,-0.767396,1,inf,0.272578,-33.6583,10.0235,487.076,0,0,36.7254,5.04738
0,gamma,0.144226,2.10523,2.45541,1,inf,0.144226,-31.0189,7.47748,505.324,0,0,18.6126,5.10946
0,gamma,0.139043,2.14374,3.0676,1,inf,0.139043,-54.6347,26.8173,487.257,0,0,35.4705,5.22778
0,gamma,0.109315,2.32778,-0.990563,1,inf,0.109315,-79.2973,28.6454,471.302,0,0,29.4301,5.32595
0,gamma,0.104429,2.34039,-1.94115,1,inf,0.104429,-64.0184,5.33669,444.973,0,0,38.3405,5.45384
0,gamma,0.0911931,1.5865,-0.769162,1,inf,0.0911931,-68.3982,-5.9438,433.248,0,0,16.8492,5.51004
0,gamma,0.0831396,2.33205,-1.6755,1,inf,0.0831396,-32.2046,-40.9808,432.457,0,0,50.3805,5.67809
0,gamma,0.0811665,1.94301,-2.15058,1,inf,0.0811665,-33.5947,-54.2087,419.784,0,0,18.3718,5.73937
0,gamma,0,0,0,-nan,-nan,0,-43.9184,-69.9735,412.427,0.0018285,9.03874e-05,20.2296,5.80685
0,e-,0,0,0,0,1,0.510999,-43.9335,-69.9796,412.432,0.079338,1.49615,0.053028,5.80697
0,e-,0,0,0,0,1,0.510999,-43.9335,-69.9796,412.432,0,0,0,5.80697
0,e-,0,0,0,0,1,0.510999,-33.5947,-54.2087,419.784,0.00197307,17.7514,0.00011115,5.73938
0,e-,0,0,0,0,1,0.510999,-33.5947,-54.2087,419.784,0,0,0,5.73938
0,e-,0,0,0,0,1,0.510999,-32.2044,-40.9808,432.457,0.00805356,7.73499,0.00104119,5.6781
0,e-,0,0,0,0,1,0.510999,-32.2044,-40.9808,432.457,0,0,0,5.6781
0,e-,0,0,0,0,1,0.510999,-68.3988,-5.94384,433.248,0.013236,5.47486,0.00241759,5.51005
0,e-,0,0,0,0,1,0.510999,-68.3988,-5.94384,433.248,0,0,0,5.51005
0,e-,0,0,0,0,1,0.510999,-64.0183,5.3367,444.973,0.00488604,10.7148,0.000456008,5.45384
0,e-,0,0,0,0,1,0.510999,-64.0183,5.3367,444.973,0,0,0,5.45384
0,e-,0,0,0,0,1,0.510999,-79.3001,28.6467,471.302,0.0297276,3.04194,0.00977257,5.32598
0,e-,0,0,0,0,1,0.510999,-79.3001,28.6467,471.302,0,0,0,5.32598
0,e-,0,0,0,0,1,0.510999,-54.6347,26.8174,487.257,0.00518283,10.3253,0.000501957,5.22778
0,e-,0,0,0,0,1,0.510999,-54.6347,26.8174,487.257,0,0,0,5.22778
0,e-,0,0,0,0,1,0.510999,-31.0053,7.4658,505.358,0.128353,1.08111,0.118723,5.10968
0,e-,0,0,0,0,1,0.510999,-31.0053,7.4658,505.358,0,0,0,5.10968
0,e-,0,0,0,0,1,0.510999,-33.7571,10.0582,487.054,0.238421,0.745276,0.319909,5.04787
0,e-,0,0,0,0,1,0.510999,-33.7571,10.0582,487.054,0,0,0,5.04787
0,gamma,0.296162,2.2354,1.15815,1,inf,0.296162,11.8398,-3.64169,472.227,0,0,13.0472,4.9684
0,gamma,0.270521,2.33304,1.92352,1,inf,0.270521,40.8617,62.6517,415.526,0,0,91.9351,5.27506
0,gamma,0.133901,0.738705,-1.76193,1,inf,0.133901,38.7312,68.4393,409.638,0,0,8.52669,5.3035
0,gamma,0,0,0,-nan,-nan,0,38.4327,66.8961,411.364,0.0018285,0.00078331,2.33432,5.31129
0,e-,0,0,0,0,1,0.510999,38.444,66.9348,411.368,0.132073,1.06133,0.124441,5.31151
0,e-,0,0,0,0,1,0.510999,38.444,66.9348,411.368,0,0,0,5.31151
0,e-,0,0,0,0,1,0.510999,38.7258,68.4687,409.607,0.13662,1.0385,0.131555,5.30373
0,e-,0,0,0,0,1,0.510999,38.7258,68.4687,409.607,0,0,0,5.30373
0,e-,0,0,0,0,1,0.510999,40.864,62.6521,415.526,0.0256405,3.39061,0.0075622,5.27508
0,e-,0,0,0,0,1,0.510999,40.864,62.6521,415.526,0,0,0,5.27508
0,e-,0,0,0,0,1,0.510999,11.9054,-3.70388,472.232,0.214837,0.789746,0.272033,4.96882
0,e-,0,0,0,0,1,0.510999,11.9054,-3.70388,472.232,0,0,0,4.96882
0,gamma,0.371872,2.06037,-2.20694,1,inf,0.371872,-34.3515,-56.9694,461.07,0,0,68.1067,5.14964
0,gamma,0.191711,0.368312,-1.11842,1,inf,0.191711,-43.8372,-69.8128,452.563,0,0,18.0918,5.20999
0,gamma,0.154812,1.09213,-2.89407,1,inf,0.154812,-43.8343,-69.8187,452.58,0,0,0.0182235,5.21005
0,gamma,0.148182,0.802954,2.80414,1,inf,0.148182,-44.9312,-70.0959,453.167,0,0,1.27462,5.2143
0,gamma,0.134388,0.927195,-2.31797,1,inf,0.134388,-61.4933,-64.2847,470.113,0,0,24.3979,5.29568
0,gamma,0.0946307,1.94065,1.8589,1,inf,0.0946307,-62.0655,-64.9023,470.745,0,0,1.05243,5.29919
0,gamma,0.094002,2.02429,2.13881,1,inf,0.094002,-62.7095,-62.7289,469.866,0,0,2.4312,5.3073
0,gamma,0.0717206,1.84417,-0.633184,1,inf,0.0717206,-67.7267,-54.8672,465.32,0,0,10.3749,5.34191
0,gamma,0,0,0,-nan,-nan,0,-58.9251,-61.3275,462.259,0.0018285,0.000161256,11.3391,5.37973
0,e-,0,0,0,0,1,0.510999,-58.9198,-61.3264,462.272,0.0698921,1.63563,0.0427309,5.37983
0,e-,0,0,0,0,1,0.510999,-58.9198,-61.3264,462.272,0,0,0,5.37983
0,e-,0,0,0,0,1,0.510999,-67.7279,-54.8658,465.32,0.0222815,3.75773,0.00592949,5.34193
0,e-,0,0,0,0,1,0.510999,-67.7279,-54.8658,465.32,0,0,0,5.34193
0,e-,0,0,0,0,1,0.510999,-62.7095,-62.7289,469.866,0.000628711,26.9311,2.33452e-05,5.3073
0,e-,0,0,0,0,1,0.510999,-62.7095,-62.7289,469.866,0,0,0,5.3073
0,e-,0,0,0,0,1,0.510999,-62.0666,-64.9063,470.747,0.0397573,2.45788,0.0161754,5.29924
0,e-,0,0,0,0,1,0.510999,-62.0666,-64.9063,470.747,0,0,0,5.29924
0,e-,0,0,0,0,1,0.510999,-61.4935,-64.2839,470.113,0.0137934,5.31623,0.00259459,5.29569
0,e-,0,0,0,0,1,0.510999,-61.4935,-64.2839,470.113,0,0,0,5.29569
0,e-,0,0,0,0,1,0.510999,-44.9313,-70.0961,453.167,0.00663053,8.80763,0.000752816,5.2143
0,e-,0,0,0,0,1,0.510999,-44.9313,-70.0961,453.167,0,0,0,5.2143
0,e-,0,0,0,0,1,0.510999,-43.8306,-69.8194,452.582,0.0368988,2.59589,0.0142143,5.21009
0,e-,0,0,0,0,1,0.510999,-43.8306,-69.8194,452.582,0,0,0,5.21009
0,e-,0,0,0,0,1,0.510999,-43.8701,-69.8423,452.511,0.180161,0.874964,0.205907,5.21032
0,e-,0,0,0,0,1,0.510999,-43.8701,-69.8423,452.511,0,0,0,5.21032
0,e-,0,0,0,0,1,0.510999,-34.3515,-56.9697,461.071,0.0114715,6.05811,0.00189357,5.14965
0,e-,0,0,0,0,1,0.510999,-34.3515,-56.9697,461.071,0,0,0,5.14965
0,e-,24.8384,0.119854,-0.468064,0.999788,48.6178,24.8436,-0.00835656,-0.0141286,478.561,1.46542,0.38932,3.76406,4.93217
0,e-,21.5992,0.281386,-0.0934319,0.99972,42.2803,21.6052,0.711609,-0.378095,485.26,2.28986,0.33536,6.82807,4.95468
0,e-,15.1935,0.0289694,-2.11668,0.999435,29.7497,15.2021,4.30807,-0.715101,497.757,4.58657,0.341081,13.4472,4.99808
0,e-,9.70143,0.0780585,2.5014,0.998616,19.0115,9.71488,4.29237,-0.740949,498.8,0.284216,0.271018,1.0487,5.00157
0,e-,7.62576,0.396999,1.32025,0.997762,14.9567,7.64287,3.89567,-0.445472,505.124,2.07201,0.304615,6.80207,5.02276
0,e-,5.90312,0.795881,1.41481,0.996274,11.5953,5.92519,4.38626,1.4715,509.844,1.71767,0.306647,5.60147,5.03986
0,e-,4.60119,1.20944,1.14049,0.99389,9.05966,4.62948,4.83877,4.34891,512.696,1.29572,0.282037,4.59414,5.05351
0,e-,2.87988,1.63656,1.40636,0.98462,5.72382,2.92486,5.42082,5.61701,513.224,0.552842,0.349063,1.58379,5.05852
0,e-,1.31346,1.33591,1.27134,0.931955,2.75805,1.40936,5.72073,7.42437,513.103,1.4832,0.645555,2.29756,5.06474
0,e-,0.65836,1.4656,-2.95822,0.789968,1.63093,0.833401,5.93875,8.13055,513.28,0.57596,0.356343,1.61631,5.06746
0,e-,0,0,0,0,1,0.510999,5.77029,8.09931,513.298,0.322403,0.637918,0.505398,5.06819
0,e-,0,0,0,0,1,0.510999,5.77029,8.09931,513.298,0,0,0,5.06819
0,gamma,0,0,0,-nan,-nan,0,8.23011,9.54883,512.852,0.00015155,4.59594e-05,3.29747,5.07574
0,e-,0,0,0,0,1,0.510999,8.23342,9.5494,512.851,0.0321471,2.87215,0.0111927,5.07577
0,e-,0,0,0,0,1,0.510999,8.23342,9.5494,512.851,0,0,0,5.07577
0,e-,0.465121,1.62153,-2.9025,0.67313,1.35222,0.690983,5.7069,6.25393,513.972,0.971786,0.521704,1.86272,5.06211
0,e-,0,0,0,0,1,0.510999,5.641,6.23787,513.969,0.179984,0.875478,0.205584,5.06244
0,e-,0,0,0,0,1,0.510999,5.641,6.23787,513.969,0,0,0,5.06244
0,e-,2.66396,0.28784,-0.337901,0.982095,5.30828,2.71253,4.53083,-1.93467,501.254,1.16617,0.393649,2.96247,5.01074
0,e-,1.79035,0.591546,-2.98563,0.961599,3.64355,1.86185,5.04945,-2.11691,503.111,0.850677,0.323658,2.62832,5.01732
